"","PMID","Title","Abstract"
"1","27844092","Exogenous daytime melatonin modulates response of adolescent mice in a repeated unpredictable stress paradigm.","The immediate and short-term behavioural and physiological implications of exposure to stressful scenarios in the adolescent period are largely unknown; however  increases in occurrence of stress-related physiological and psychological disorders during puberty highlight the need to study substances that may modulate stress reactivity during a crucial stage of maturation. Seven groups of mice (12-15 g each) were administered distilled water (DW) (non-stressed and stressed controls)  sertraline (10 mg/kg)  diazepam (2 mg/kg) or one of three doses of melatonin (5  10 and 15 mg/kg). Mice were exposed to 30 min of chronic mild stress (25 min of cage shaking  cage tilting  handling and 5 min of forced swimming in tepid warm water at 25 °C  in a random order) after administration of DW or drugs  daily for 21 days. Behavioural assessments were conducted on day 1 and day 21 (after which mice were sacrificed  blood taken for estimation of corticosterone levels and brain homogenates used for estimation of antioxidant activities). Administration of melatonin resulted in an increase in horizontal locomotion and self-grooming  while rearing showed a time-dependent increase  compared to non-stress and stress controls. Working memory improved with increasing doses of melatonin (compared to controls and diazepam); in comparison to setraline however  working memory decreased. A dose-related anxiolytic effect is seen when melatonin is compared to non-stressed and stressed controls. Melatonin administration reduced the systemic/oxidant response to repeated stress. Administration of melatonin in repeatedly stressed adolescent mice was associated with improved central excitation  enhancement of working memory  anxiolysis and reduced systemic response to stress."
"2","27276059","An analysis of QTc prolongation with atypical antipsychotic medications and selective serotonin reuptake inhibitors using a large ECG record database.","BACKGROUND: This study evaluated the effects of atypical antipsychotic drugs and selective serotonin reuptake inhibitors (SSRIs) on the corrected QT (QTc) interval using a large database obtained from clinical settings. Additionally  the effects of factors including age on QTc intervals were estimated.METHODS: Using an open-access QT database (ECG-ViEW)  QTc-lengthening effects of 14 selected atypical antipsychotics and SSRIs were compared to those of a positive control drug  cilostazol  and a negative control drug  diazepam. We also evaluated effects of age  sexgender  and select electrolyte levels on observed QTc intervals.RESULTS: The frequency of QTc prolongation with the pooled data of the 14 study drugs was lower than that with cilostazol (age-adjusted odds ratio (OR) = 0.43  95% confidence interval (CI) = 0.27-0.69)  but no significant difference was found relative to when compared with that with diazepam (age-adjusted OR = 0.89  95% CI = 0.55-1.47). Furthermore  administration of the 14 study drugs significantly increased the QTc interval by 2.89 ms after each 10-year age increment (p-value &lt; 0.0001).CONCLUSIONS: This study suggests that atypical antipsychotic drugs and SSRIs are less likely to be associated with QTc prolongation in clinical settings. In addition  age showed a significant association with the QTc interval. Further studies with well-characterized cohorts are warranted."
"3","26342446","A multi-targeted liquid chromatography-mass spectrometry screening procedure for the detection in human urine of drugs non-prohibited in sport commonly used by the athletes.","This work presents an analytical method for the simultaneous analysis in human urine of 38 pharmacologically active compounds (19 benzodiazepine-like substances  7 selective serotonin reuptake inhibitors  4 azole antifungal drugs  5 inhibitors of the phosphodiesterases type 4 and 3 inhibitors of the phosphodiesterase type 5) by liquid-chromatography coupled with tandem mass spectrometry. The above substances classes include both the most common &quot;non banned&quot; drugs used by the athletes (based on the information reported on the &quot;doping control form&quot;) and those drugs who are suspected to be performance enhancing and/or act as masking agents in particular conditions. The chromatographic separation was performed by a reverse-phase octadecyl column using as mobile phases acetonitrile and ultra-purified water  both with 0.1% formic acid. The detection was carried out using a triple quadrupole mass spectrometric analyser  positive electro-spray as ionization source and selected reaction monitoring as acquisition mode. Sample pre-treatment consisted in an enzymatic hydrolysis followed by a liquid-liquid extraction in neutral field using tert-butyl methyl-ether. The analytical procedure  once developed  was validated in terms of sensitivity (lower limits of detection in the range of 1-50 ng mL(-1))  specificity (no interferences were detected at the retention time of all the analytes under investigation)  recovery (=60% with a satisfactory repeatability  CV % lower than 10)  matrix effect (lower than 30%) and reproducibility of retention times (CV% lower than 0.1) and of relative abundances (CV% lower than 15). The performance and the applicability of the method was evaluated by analyzing real samples containing benzodiazepines (alprazolam  diazepam  zolpidem or zoplicone) or inhibitors of the phosphodiesterases type 5 (sildenafil or vardenafil) and samples obtained incubating two of the phosphodiesterases type 4 studied (cilomilast or roflumilast) with pooled human liver microsomes. All the parent compounds  together with their main phase I metabolites  were clearly detected using the analytical procedures here developed."
"4","25981674","Direct inhibition of retinoic acid catabolism by fluoxetine.","Recent evidence from animal and human studies suggests neuroprotective effects of the SSRI fluoxetine  e.g.  in the aftermath of stroke. The underlying molecular mechanisms remain to be fully defined. Because of its effects on the cytochrome P450 system (CYP450)  we hypothesized that neuroprotection by fluoxetine is related to altered metabolism of retinoic acid (RA)  whose CYP450-mediated degradation in brain tissue constitutes an important step in the regulation of its site-specific auto- and paracrine actions. Using traditional pharmacological in vitro assays  the effects of fluoxetine on RA degradation were probed in crude synaptosomes from rat brain and human-derived SH-SY5Y cells  and in cultures of neuron-like SH-SY5Y cells. Furthermore  retinoid-dependent effects of fluoxetine on neuronal survival following glutamate exposure were investigated in rat primary neurons cells using specific retinoid receptor antagonists. Experiments revealed dose-dependent inhibition of synaptosomal RA degradation by fluoxetine along with dose-dependent increases in RA levels in cell cultures. Furthermore  fluoxetine's neuroprotective effects against glutamate excitotoxicity in rat primary neurons were demonstrated to partially depend on RA signaling. Taken together  these findings demonstrate for the first time that the potent  pleiotropic antidepressant fluoxetine directly interacts with RA homeostasis in brain tissue  thereby exerting its neuroprotective effects."
"5","25896879","Sex differences in motivational responses to dietary fat in Syrian hamsters.","Women are more likely than men to exhibit motivational disorders (e.g.  anhedonia and anxiety) with limited treatment options  and to overconsume high-fat &quot;comfort foods&quot; to improve motivational disruptions. Unfortunately  neurobiological underpinnings for sex differences in motivational disruptions and their responses to dietary fat are poorly understood. To help bridge these fundamental knowledge gaps  we assessed behavioral and neurobiological responses to dietary fat in a hamster model of female-biased motivational lability. Relative to social housing  social separation reduced hedonic drive in a new behavioral assay  the reward investigational preference (RIP) test. Fluoxetine or desipramine treatment for 21  but not 7  days improved RIP test performance. Pharmacologic specificity in this test was shown by non-responsiveness to diazepam  tracazolate  propranolol  or naltrexone. In the anxiety-related feeding/exploration conflict (AFEC) test  social separation worsened latency to eat highly palatable food under anxiogenic conditions  but not in home cages. Social separation also reduced weight gain  food intake  and adiposity while elevating energy expenditure  assessed by caloric efficiency and indirect calorimetry. Furthermore  chronic high-fat feeding improved anhedonic and anxious responses to separation  particularly in females. In the motivation-influencing nucleus accumbens  females  but not males  exhibited a separation-induced anxiety-related decrease in Creb1 mRNA levels and an anhedonia-related decrease in <U+0394>Fosb mRNA levels. Consistent with its antidepressant- and anxiolytic-like effects on behavior  high-fat feeding elevated accumbal Creb1 and <U+0394>Fosb mRNA levels in females only. Another accumbal reward marker  Tlr4 mRNA  was elevated in females by high-fat feeding. These results show that social separation of hamsters provides a novel model of sex-dependent comorbid anhedonia  anxiety  and anorexia  and implicate accumbal CREB  <U+0394>FosB  and TLR4. Moreover  the results validate a new assay for chronic antidepressant efficacy."
"6","25840741","BDNF-TRKB signaling system of the dorsal periaqueductal gray matter is implicated in the panicolytic-like effect of antidepressant drugs.","A wealth of evidence implicates the BDNF-TRKB system in the therapeutic effects of antidepressant drugs (ADs) on mood disorders. However  little is known about the involvement of this system in the panicolytic property also exerted by these compounds. In the present study we evaluated the participation of the BDNF-TRKB system of the dorsal periaqueductal gray matter (DPAG)  a core structure involved in the pathophysiology of panic disorder  in AD-induced panicolytic-like effects in rats. The results showed that short- (3 days) or long-term (21 days) systemic treatment with the tricyclic ADs imipramine  clomipramine or desipramine increased BDNF levels in the DPAG. Only longterm treatment with the selective serotonin reuptake inhibitor fluoxetine was able to increase BDNF levels in this structure. After 21-day treatment  fluoxetine and the three tricyclic ADs used also increased BDNF concentration in the hippocampus  a key area implicated in their mood-related actions. Neither in the DPAG nor hippocampus did long-term treatment with the standard anxiolytics diazepam  clonazepam or buspirone affect BDNF levels. Imipramine  both after short and long-term administration  and fluoxetine under the latter regimen  raised the levels of phosphorylated TRKB in the DPAG. Short-term treatment with imipramine or BDNF microinjection inhibited escape expression in rats exposed to the elevated T maze  considered as a panicolytic-like effect. This anti-escape effect was attenuated by the intra-DPAG administration of the TRK receptor antagonist k252a. Altogether  our data suggests that facilitation of the BDNF-TRKB system in the DPAG is implicated in the panicolytic effect of ADs."
"7","25704026","The effects of AP521, a novel anxiolytic drug, in three anxiety models and on serotonergic neural transmission in rats.","We investigated the anxiolytic effects and mechanism of action of a new anxiolytic drug  (R)-piperonyl-1 2 3 4-tetrahydro[1]benzothieno[2 3-c]pyridine-3- carboxamide hydrochloride (AP521). AP521 showed equal or more potent anxiolytic-like effects compared with diazepam  a benzodiazepine receptor agonist  or tandospirone  a partial 5-hydroxytryptamine (5-HT)1A receptor agonist  in three rat anxiety models; the Vogel-type conflict test  elevated plus maze test  and conditioned fear stress test. Although AP521 did not bind to the benzodiazepine receptor  it did bind to 5-HT1A  5-HT1B  5-HT1D  5-HT5A and 5-HT7 receptors  and showed agonist activity for the human 5-HT1A receptor expressed in HEK293 cells. Tandospirone  which can stimulate the presynaptic 5-HT1A receptors in the raphe  tended to decrease extracellular 5-HT concentration in the medial prefrontal cortex (mPFC) in rats. In contrast  AP521 increased extracellular 5-HT concentration. In addition  AP521 enhanced the anti-freezing effect of citalopram  a selective serotonin reuptake inhibitor  in the fear conditioning model in rats and enhanced the citalopram-caused increase of the extracellular 5-HT concentration in the mPFC. These results suggest that AP521 exhibits potent anxiolytic effects by acting as a postsynaptic 5-HT1A receptor agonist and by enhancing serotonergic neural transmission in the mPFC by a novel mechanism of action."
"8","25694077","Benzo- and thienobenzo- diazepines: multi-target drugs for CNS disorders.","Benzodiazepines (BZ or BZD) are a class of gabaminergic psychoactive chemicals used in hypnotics  sedation  in the treatment of anxiety  and in other CNS disorders. These drugs include alprazolam (Xanax)  diazepam (Valium)  clonazepam (Klonopin)  and others. There are two distinct types of pharmacological binding sites for benzodiazepines in the brain (BZ1 and BZ2)  these sites are on GABA-A receptors  and are classified as short  intermediate  or long-acting. From the thienobenzodiazepine class (TBZ)  Olanzapine (2-methyl-4-(4-methyl-l-piperazinyl)-10H-thieno[2 3-b][1 5]benzodiazepine) (Zyprexa) was used as an example to demonstrate the antagonism of this class of compounds for multiples receptors including: dopamine D1-D5  a-adrenoreceptor  histamine H1  muscarinic M1-M5 and 5-HT2A  5-HT2B  5-HT2C  5-HT3 and 5-HT6 receptors. Olanzapine is an atypical antipsychotic agent  structurally related to clozapine  and extensively used for the treatment of schizophrenia  bipolar disorder-associated mania  and the behavioral symptoms of Alzheimer's disease. The functional blockade of these multiple receptors contributes to the wide range of its pharmacologic and therapeutic activities  having relatively few side effects when compared to other antipsychotics agents. Thienobenzodiazepines (such as Olanzapine) are characterized as multi- receptor- targeted- acting- agents. This mini-review discusses these 2 drug classes that act on the central nervous system  the main active compounds used  and the various receptors with which they interact. In addition  we propose 12 olanzapine analogues  and generated Random Forest models  from a data set obtained from the ChEMBL database  to classify the structures as active or inactive against 5 dopamine receptors (D1  D2  D3  D4  D5 and D6)  and dopamine transporter."
"9","25590967","Fluvoxamine alleviates seizure activity and downregulates hippocampal GAP-43 expression in pentylenetetrazole-kindled mice: role of 5-HT3 receptors.","Epilepsy has been documented to lead to many changes in the nervous system including cell loss and mossy fiber sprouting. Neuronal loss and aberrant neuroplastic changes in the dentate gyrus of the hippocampus have been identified in the pentylenetetrazole (PTZ) kindling model. Antiseizure activity of selective serotonin reuptake inhibitors has been reported in several studies. In the current study  the protective effect of fluvoxamine against PTZ-kindling was investigated in terms of seizure scores  neuronal loss  and regulation of hippocampal neuroplasticity. Further  the role of 5-HT3 receptors was determined. Kindling was induced by repeated injections of PTZ (35<U+2009>mg/kg) thrice weekly  for a total of 13 injections. One hundred male albino mice were allocated into 10 groups: (1) saline  (2) PTZ  (3) diazepam (1<U+2009>mg/kg)+PTZ  (4-6) fluvoxamine (5  10 or 20<U+2009>mg/kg)+PTZ  (7) ondansetron+fluvoxamine (20<U+2009>mg/kg)+PTZ  (8) ondansetron+PTZ group  (9) ondansetron (2<U+2009>mg/kg  i.p.)+saline  and (10) fluvoxamine (20<U+2009>mg/kg)+saline. PTZ-kindled mice showed high seizure activity  hippocampal neuronal loss  and expression of growth-associated phosphoprotein (GAP-43) compared with saline-treated mice. Repeated administration of fluvoxamine (20<U+2009>mg/kg) in PTZ-kindled mice suppressed seizure scores  protected against hippocampal neuronal loss  and downregulated GAP-43 expression  without producing any signs of the 5-HT syndrome in healthy rats. Importantly  pretreatment with a selective 5-HT3 receptor blocker (ondansetron) attenuated the aforementioned effects of fluvoxamine. In conclusion  the ameliorating effect of fluvoxamine on hippocampal neurons and neuroplasticity in PTZ-kindled mice was  at least in part  dependent on enhancement of hippocampal serotoninergic transmission at 5-HT3 receptors."
"10","25589252","An UPLC-MS/MS method for the analysis of glimepiride and fluoxetine in human plasma.","A sensitive and rapid ultra performance liquid chromatography tandem mass spectrometry (UPLC-MS/MS) method was developed to determine glimepiride (GPD) and fluoxetine (FLU) in human plasma using diazepam as the internal standard (IS) simultaneously. The presented method used an Acquity UPLC BEH C18 column for chromatographic separation with tandem mass spectrometric detection on a QTrap5500 mass spectrometer operated in positive ESI mode. The mobile phase is a mixture of acetonitrile and 1% formic acid in water with gradient elution at a flow rate of 0.40mL/min. The GPD  FLU and IS were eluted at 1.46  1.27 and 1.39min  respectively. The MRM transitions of m/z 491.3<U+2192>126.3 and m/z 310.5<U+2192>148.1 were used to quantify for GPD and FLU  respectively. The linearity of this method was found to be within the concentration range of 2.5-300ng/mL and 0.1-20ng/mL for GPD and FLU in human plasma  respectively. The intra- and inter-day precision (RSD%) were less than 10.3% and accuracy (RE%) was within ±7.3%. The matrix effect were 95.3-100.7% for GPD and FLU. GPD and FLU were sufficiently stable under all relevant analytical conditions. The method was also successfully applied to the clinical samples after a single oral dose of 2mg GLP and 40mg FLU in patients."
